ingredient_name,n_transactions_affected,total_missing_qty,unit,total_missing_value_ron,cost_price_missing_flag
CAFEA PRAJITA - PREMIUM 3 1kg,1606,31.58,kg,3158.0,
LAPTE BIO UHT,1572,422.69,L,2536.14,
MATCHA POWDER TRADITIONAL GREEN TEA 250 G,12,0.56,kg,246.4,
MOELK BARISTA BAUTURA VEGETALA DE OVAZ,69,15.85,L,237.75,
CAFEA PRAJITA - BREZZA DI BARI 1KG,109,2.34,kg,234.0,
ZAHAR BRUN 5 GR,1885,3367.0,Units,188.55,
CAPAC SL37,1267,1469.0,Buc,176.28,
PACHET FRAPPE DOLCE NERA,52,58.0,Buc,159.5,
PAHAR 12 OZ,550,632.0,Buc,139.04,
LAMAIE,31,11.3,kg,134.47,
PAHAR 8 OZ,800,898.0,Buc,107.76,
PAHAR 16 OZ,381,425.0,Buc,102.0,
PALETE,1916,2372.0,Units,83.02,
CAPAC SL45,434,486.0,Buc,63.18,
RODII,7,2.8,kg,42.87,
PAHAR 6 OZ,366,415.0,Units,39.42,
CEAI MUSETEL,3,3.0,Buc,36.0,
FRISCA SPRAY,68,3.7,kg,33.3,
CAPAC DE PLASTIC 6 OZ,366,415.0,Units,33.2,
PORTOCALE,8,4.2,kg,31.37,
PAHAR FRAPPE DOLCE NERA 3CNEW,57,65.0,Units,24.7,
CAFEA PRAJITA - PERU RUMIYACU A.M. 250gr,9,0.18,kg,20.88,
CAPAC PAHAR FRAPPE DL95,109,129.0,Units,19.35,
DARK CHOCOLATE GOURMET VANILA,9,0.36,kg,14.4,
PALETE CAFEA 14cm,1,1.0,Buc,14.0,
CAFEA BIO COLUMBIA - LA ORQUIDEA PLANADAS 250gr,4,0.1,kg,13.7,
GRAPEFRUIT ROSU,7,3.1,kg,13.31,
CAFEA PRAJITA - NICARAGUA SHG 250gr,3,0.1,kg,11.7,
WHITE CHOCOLATE GOURMET WHITE VANILA,7,0.28,kg,11.2,
PIURE GIFFARD MANGO 1L,12,0.14,Buc,10.36,
MIERE PLIC,21,23.0,Buc,8.05,
PAIE,95,107.0,Units,5.35,
CEAI GHIMBIR & LAMAIE,7,7.0,Buc,3.5,
CEAI FRUCTE DE PADURE,4,4.0,Buc,2.0,
CEAI LAMAIE,2,2.0,Buc,1.0,
CEAI VERDE SENCHA MANGO,1,1.0,Buc,0.48,
CEAI VERDE,1,1.0,Buc,0.4,
CAFEA PRAJITA - GUJI ETHIOPIA 1kg,279,6.28,kg,0.0,YES - value understated
CEAI VERDE MENTA & LAMAIE,5,5.0,Buc,0.0,YES - value understated
CAFEA BOABE DECOF - CUORE DI COLUMBIA 1kg,3,0.06,kg,0.0,YES - value understated
